time,venue,code,raceno,runnerno,runnername,type,market,bookie,odds,result,BSP,BSP
,,,,,,,,,,,Price Win,Price Place
6/20/2025 20:16,NEWCASTLE,Harness,7,10,BOUGANVILLEA,CASH,Fixed Win,Tabtouch,6.5,Error,4.68,2
6/20/2025 20:15,NEWCASTLE,Harness,7,10,BOUGANVILLEA,CASH,Fixed Win,Sportsbet,6.5,Error,4.68,2
6/20/2025 20:13,NEWCASTLE,Harness,7,4,RACING WRITER,CASH,Fixed Win,Tabtouch,3.2,Success,3.01,1.5
6/20/2025 20:12,NEWCASTLE,Harness,7,4,RACING WRITER,CASH,Fixed Win,Sportsbet,3.2,Success,3.01,1.5
6/20/2025 19:37,NEWCASTLE,Harness,6,3,JAY OK,CASH,Fixed Win,TAB,1.7,Error,1.68,1.14
6/20/2025 19:34,NEWCASTLE,Harness,6,3,JAY OK,CASH,Fixed Win,Tabtouch,1.85,Error,1.68,1.14
6/20/2025 18:34,NEWCASTLE,Harness,4,4,THE CID,CASH,Fixed Win,BetRight,10,Error,8.2,2.72
6/20/2025 18:07,NEWCASTLE,Harness,3,5,AMERICAN WEREWOLF,CASH,Fixed Win,Tabtouch,7.5,Error,8.87,2.24
6/20/2025 18:04,NEWCASTLE,Harness,3,5,AMERICAN WEREWOLF,CASH,Fixed Win,TAB,11,Success,8.87,2.24
6/20/2025 17:57,NEWCASTLE,Harness,3,4,DANCE WITH CARMER,CASH,Fixed Win,Tabtouch,2.45,Error,2.18,1.34
6/20/2025 17:29,NEWCASTLE,Harness,2,4,BETTOR CHEER NZ,CASH,Fixed Win,TAB,8,Success,6.59,2.96
6/20/2025 17:28,NEWCASTLE,Harness,2,6,SPIRIT KING,CASH,Fixed Win,Tabtouch,7,Error,9.6,2.98
6/20/2025 17:28,NEWCASTLE,Harness,2,2,NIFTY STUDLEIGH,CASH,Fixed Win,Sportsbet,14,Error,9.28,2.85
6/20/2025 17:27,NEWCASTLE,Harness,2,2,NIFTY STUDLEIGH,CASH,Fixed Win,TAB,16,Error,9.28,2.85
6/20/2025 17:27,NEWCASTLE,Harness,2,6,SPIRIT KING,CASH,Fixed Win,TAB,8,Error,9.6,2.98
6/20/2025 16:53,NEWCASTLE,Harness,1,5,NEXT TO ME NZ,CASH,Fixed Win,Tabtouch,9.5,Error,10.5,3.3
6/20/2025 16:53,NEWCASTLE,Harness,1,4,LONGNWINDINGROAD,CASH,Fixed Win,BetRight,5.25,Error,4.8,2.06
6/20/2025 21:38,RICHMOND STRAIGHT,Greyhounds,8,2,WICKED RAVEN,CASH,Fixed Win,Sportsbet,12,Success,Venue Load Error,Venue Load Error
