Time,Venue,Code,RaceNo,RunnerNo,RunnerName,Type,Market,Bookie,Odds
6/7/2025 19:54,GLOBE DERBY,Harness,3,7,WISHING STAR NZ,CASH,Fixed Win,TAB,9.5
6/7/2025 19:54,GLOBE DERBY,Harness,3,7,WISHING STAR NZ,CASH,Fixed Win,BetRight,12
6/7/2025 19:53,GLOBE DERBY,Harness,3,4,SO VOGUE,CASH,Fixed Win,TAB,11
6/7/2025 19:53,GLOBE DERBY,Harness,3,4,SO VOGUE,CASH,Fixed Win,BetRight,13
6/7/2025 19:48,MENANGLE,Harness,6,1,TERRYRAMA,CASH,Fixed Win,TAB,16
6/7/2025 19:44,THE GARDENS,Greyhounds,6,7,MARK TO MARKET,CASH,Fixed Win,Sportsbet,2.35
6/7/2025 19:44,THE GARDENS,Greyhounds,6,7,MARK TO MARKET,CASH,Fixed Win,Tabtouch,2.5
6/7/2025 19:44,THE GARDENS,Greyhounds,6,7,MARK TO MARKET,CASH,Fixed Win,TAB,2.6
6/7/2025 19:43,MELTON,Harness,6,2,JILLIBY BALLERINI,CASH,Fixed Win,BetRight,1.85
6/7/2025 19:41,MELTON,Harness,6,2,JILLIBY BALLERINI,CASH,Fixed Win,TAB,1.95
6/7/2025 19:38,GEELONG,Greyhounds,11,7,BURN AROUND,CASH,Fixed Win,TAB,5
6/7/2025 19:32,MELTON,Harness,6,2,JILLIBY BALLERINI,CASH,Fixed Win,Sportsbet,2.1
6/7/2025 19:30,ALBION PARK,Harness,6,11,LEAP TO FAME,CASH,Fixed Win,TAB,1.2
6/7/2025 19:29,WENTWORTH PARK,Greyhounds,2,6,FASCINATE MARIA,CASH,Fixed Win,Tabtouch,3.6
6/7/2025 19:29,WENTWORTH PARK,Greyhounds,2,6,FASCINATE MARIA,CASH,Fixed Win,TAB,3.6
6/7/2025 19:29,WENTWORTH PARK,Greyhounds,2,6,FASCINATE MARIA,CASH,Fixed Win,Sportsbet,3.6
6/7/2025 19:28,WENTWORTH PARK,Greyhounds,2,6,FASCINATE MARIA,CASH,Fixed Win,BetRight,3.4
6/7/2025 19:27,THE GARDENS,Greyhounds,5,3,MAX STAPPEN,CASH,Fixed Win,Tabtouch,14
6/7/2025 19:27,THE GARDENS,Greyhounds,5,3,MAX STAPPEN,CASH,Fixed Win,TAB,12
6/7/2025 19:27,THE GARDENS,Greyhounds,5,3,MAX STAPPEN,CASH,Fixed Win,Sportsbet,13
6/7/2025 19:10,THE GARDENS,Greyhounds,4,6,STARLIGHT DUKE,CASH,Fixed Win,BetRight,5.5
6/7/2025 19:05,MELTON,Harness,5,1,MAXY WANTS TO PLAY,CASH,Fixed Win,Sportsbet,4.8
6/7/2025 19:05,MELTON,Harness,5,11,NOVA BAXTER,CASH,Fixed Win,BetRight,151
6/7/2025 19:05,MELTON,Harness,5,1,MAXY WANTS TO PLAY,CASH,Fixed Win,Tabtouch,4.8
6/7/2025 19:05,MELTON,Harness,5,1,MAXY WANTS TO PLAY,CASH,Fixed Win,TAB,4.8
6/7/2025 19:04,MELTON,Harness,5,1,MAXY WANTS TO PLAY,CASH,Fixed Win,BetRight,4.8
6/7/2025 19:04,GEELONG,Greyhounds,9,7,BAKIS BALE,CASH,Fixed Win,Sportsbet,4.8
6/7/2025 19:04,GEELONG,Greyhounds,9,7,BAKIS BALE,CASH,Fixed Win,Tabtouch,4.8
6/7/2025 19:02,ALBION PARK,Harness,5,4,CHYNCHILLA NZ,CASH,Fixed Win,Tabtouch,1.75
6/7/2025 19:02,ALBION PARK,Harness,5,4,CHYNCHILLA NZ,CASH,Fixed Win,Sportsbet,1.75
6/7/2025 19:01,ALBION PARK,Harness,5,4,CHYNCHILLA NZ,CASH,Fixed Win,BetRight,1.85
6/7/2025 19:01,ALBION PARK,Harness,5,4,CHYNCHILLA NZ,CASH,Fixed Win,TAB,1.9
6/7/2025 18:51,Q2 PARKLANDS,Greyhounds,2,3,PARTY MODE,CASH,Fixed Win,Tabtouch,3.2
6/7/2025 18:51,Q2 PARKLANDS,Greyhounds,2,3,PARTY MODE,CASH,Fixed Win,TAB,3.1
6/7/2025 18:51,Q2 PARKLANDS,Greyhounds,2,3,PARTY MODE,CASH,Fixed Win,Sportsbet,3.2
6/7/2025 18:48,THE GARDENS,Greyhounds,3,6,RAINING BOURBON,CASH,Fixed Win,BetRight,9
6/7/2025 18:44,GEELONG,Greyhounds,8,6,TARAWI THERESE,CASH,Fixed Win,BetRight,1.5
6/7/2025 18:44,GEELONG,Greyhounds,8,6,TARAWI THERESE,CASH,Fixed Win,TAB,1.6
6/7/2025 18:34,MELTON,Harness,4,2,STRAPPING RED,CASH,Fixed Win,Sportsbet,91
6/7/2025 18:32,Q2 PARKLANDS,Greyhounds,1,4,BRINDLE FUGITIVE,CASH,Fixed Win,TAB,41
6/7/2025 18:32,Q2 PARKLANDS,Greyhounds,1,6,GENOVESE,CASH,Fixed Win,Sportsbet,34
6/7/2025 18:27,DUBBO,Greyhounds,7,7,SLIPPERY BOGAN,CASH,Fixed Win,Tabtouch,4
6/7/2025 18:27,DUBBO,Greyhounds,7,7,SLIPPERY BOGAN,CASH,Fixed Win,Sportsbet,4.2
6/7/2025 18:25,THE GARDENS,Greyhounds,2,4,MISSY BANNER,CASH,Fixed Win,TAB,23
6/7/2025 18:25,THE GARDENS,Greyhounds,2,6,REDSHIFT CHARLIE,CASH,Fixed Win,Tabtouch,26
6/7/2025 18:24,THE GARDENS,Greyhounds,2,6,REDSHIFT CHARLIE,CASH,Fixed Win,TAB,26
6/7/2025 18:24,THE GARDENS,Greyhounds,2,4,MISSY BANNER,CASH,Fixed Win,BetRight,23
6/7/2025 18:23,GEELONG,Greyhounds,7,8,NAVARINO,CASH,Fixed Win,TAB,15
